st, fmt, uuid, ad, cr, fl, BID, mibid, avbid, mxbid, nmbid, CTR, mictr, avctr, mxctr, nmctr, CTX, mictx, avctx, mxctx, nmctx, qlt, miqlt, avqlt, mxqlt, nmqlt, CTU, mictu, avctu, mxctu, nmctu, BTU, mibtu, avbtu, mxbtu, nmbtu, hour, comb, order, adnum, cpc, click
b9, ci_n_ads.js, dd17cd73a5c748e292e5e2156bf2c48e, 1010666, 1324357, 3173001, 0.60, 0.05, 0.43, 2.50, 0.06939, 5655, 259, 2396, 7723, 0.4366, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.58, 0.26, 0.74, 3.79, -0.04533, 0.00, 0.00, 0.00, 0.00, 0, 0, 729014:980277:1010812:1010666:985428:1010837:1008306:1010873:1010130:, 4, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 0b4808bc4e934c6e9d87126c00fec584, 1010557, 1324109, 3172925, 1.00, 0.05, 0.56, 1.10, 0.4190, 1663, 615, 2633, 11508, -0.08905, 0.53, 0.39, 0.51, 0.95, 0.03571, 4.40, 3.31, 4.60, 7.04, -0.05362, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 0, 1010520:1009614:1010557, 3, 3, 0.00, 0
auctionexpr, ci_n_ads.js, 3cdfdfd6c1ba4647821b287c3537d1f6, 1008306, 1320140, 3170962, 0.80, 0.05, 0.44, 0.80, 0.4800, 4118, 414, 2435, 6574, 0.2732, 2.51, 2.20, 3.74, 5.78, -0.3436, 6.44, 4.29, 6.26, 8.38, 0.04401, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 1, 1008306:1010127, 1, 2, 0.00, 0
b9, ci_n_ads.js, 88dc05211f2f4faf9a2d986d8bfd2842, 980277, 1298145, 3115793, 0.05, 0.05, 0.41, 0.90, -0.4235, 5692, 442, 1958, 5692, 0.7112, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.81, 1.81, 2.88, 4.17, -0.4534, 0.00, 0.00, 0.00, 0.00, 0, 2, 980277:1008306:, 1, 2, 0.00, 0
auctionexpr, ci_n_ads.js, f38069b211d545c09aa8a96ee9744142, 1008306, 1320139, 3170962, 0.80, 0.05, 0.42, 0.80, 0.5067, 4113, 405, 1935, 6573, 0.3531, 3.68, 1.34, 3.29, 4.14, 0.1393, 8.16, 4.82, 6.44, 8.16, 0.5150, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 5, 1008306:1010105, 1, 2, 0.8, 1
auctionexpr, ci_n_ads.js, a93e0911fd744456b955c0baab7d0784, 1008306, 1320140, 3170960, 0.80, 0.05, 0.55, 1.00, 0.2632, 4421, 570, 3016, 7722, 0.1964, 0.89, 0.89, 1.08, 1.99, -0.1727, 5.79, 3.79, 5.52, 8.12, 0.06236, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 7, 1008306:1008526:1007922, 1, 3, 0.00, 0
auctionexpr, ci_n_ads.js, 37a3b66c7f164f238681254923338b54, 1008306, 1320140, 3170962, 0.80, 0.05, 0.32, 0.80, 0.6400, 4109, 227, 1745, 4112, 0.6085, 3.25, 2.42, 2.79, 3.25, 0.5542, 10.00, 5.68, 7.20, 10.00, 0.6481, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 7, 1008306:1010127, 1, 2, 0.00, 0
c9, ci_n_ads.js, 6333f39154b645d0862e661bf99c1b16, 1009764, 1322795, 3172127, 0.39, 0.05, 0.38, 0.80, 0.01333, 2267, 434, 2141, 5679, 0.02402, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 4.00, 2.80, 4.52, 5.82, -0.1722, 0.00, 0.00, 0.00, 0.00, 0, 7, 1009764:1008525, 1, 2, 0.39, 1
auctionexpr, ci_n_ads.js, 6cb0ce16bd43458db390ce407e95b781, 1010105, 1323512, 3172448, 0.80, 0.05, 0.42, 0.80, 0.5067, 1562, 403, 1993, 5677, -0.08172, 6.20, 2.20, 5.76, 6.77, 0.09628, 6.88, 5.25, 6.93, 8.67, -0.01462, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 7, 1008306:1010105, 2, 2, 0.72, 1
d9, ci_n_ads.js, daee26f234fb4106885b73d11c919d42, 737426, 1267372, 3125274, 0.20, 0.05, 0.35, 0.80, -0.2000, 2937, 787, 2598, 6572, 0.05860, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.78, 1.40, 1.83, 2.51, -0.04505, 0.00, 0.00, 0.00, 0.00, 0, 7, 737426:980270:, 1, 2, 0.00, 0
d9, ci_n_ads.js, b86ff47e89b5497e86d52ea0c312143e, 1000625, 1307266, 3163188, 0.45, 0.05, 0.42, 2.50, 0.01224, 909, 225, 2134, 7722, -0.1634, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.20, 0.20, 0.22, 0.71, -0.03922, 0.00, 0.00, 0.00, 0.00, 0, 7, 1006305:1010871:1010770:1006985:1009667:1000625:1009726:1010325:1006513, 6, 9, 0.00, 0
d9, ci_n_ads.js, b86ff47e89b5497e86d52ea0c312143e, 1006513, 1317139, 3169299, 0.55, 0.05, 0.42, 2.50, 0.05306, 2282, 225, 2134, 7722, 0.01974, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.26, 0.20, 0.22, 0.71, 0.07843, 0.00, 0.00, 0.00, 0.00, 0, 7, 1006305:1010871:1010770:1006985:1009667:1000625:1009726:1010325:1006513, 9, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 3d52ae731f7f48f48f21e1a56d90bdeb, 1007696, 1319296, 3170590, 2.50, 0.05, 0.34, 2.50, 0.8816, 2823, 613, 1794, 3319, 0.3803, 0.32, 0.29, 0.33, 0.58, -0.03448, 7.11, 4.10, 5.97, 8.12, 0.2836, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 7, 1007696:1008279, 1, 2, 0.76, 1
auctionexpr, ci_n_ads.js, 4be1ecb6718f46bc8c475434297d9651, 737147, 1324525, 2811751, 1.10, 0.05, 0.42, 1.10, 0.6476, 1153, 358, 2198, 12651, -0.08501, 3.51, 3.28, 3.48, 4.38, 0.02727, 5.74, 5.30, 6.03, 10.00, -0.06170, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 8, 737147:1008279:1008525:, 1, 3, 0.00, 0
auctionexpr, ci_n_ads.js, 266b92b2a5874c7eb02c4c75b5cd1358, 1007924, 1319599, 3171822, 0.86, 0.05, 0.42, 1.50, 0.3034, 2246, 291, 1953, 9041, 0.03349, 0.30, 0.23, 0.31, 0.74, -0.01961, 3.82, 2.39, 3.73, 7.53, 0.01751, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 8, 1010676:1010324:1010793:1008279:1010557:992395:1008385:1009667:1007924:, 9, 9, 0.00, 0
d9, ci_n_ads.js, 7d4e83cbc3e04def98eb5c02a9b8e0b0, 997738, 1316828, 3169099, 0.60, 0.05, 0.45, 2.00, 0.07692, 1011, 190, 2221, 7721, -0.1607, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.19, 0.00, 0.11, 0.34, 0.2353, 8.85, 0.00, 3.60, 9.81, 0.5352, 8, 975434:1000625:1004074:997738:1008690:1004302:1006387:1008812:1003866:, 4, 9, 0.6, 1
d9, ci_n_ads.js, 7d4e83cbc3e04def98eb5c02a9b8e0b0, 1006387, 1320557, 3169210, 0.40, 0.05, 0.45, 2.00, -0.02564, 1205, 190, 2221, 7721, -0.1349, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.00, 0.00, 0.11, 0.34, -0.3235, 8.78, 0.00, 3.60, 9.81, 0.5280, 8, 975434:1000625:1004074:997738:1008690:1004302:1006387:1008812:1003866:, 7, 9, 0.00, 0
d9, ci_n_ads.js, 7d4e83cbc3e04def98eb5c02a9b8e0b0, 1003866, 1313022, 3166917, 0.40, 0.05, 0.45, 2.00, -0.02564, 695, 190, 2221, 7721, -0.2026, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.00, 0.00, 0.11, 0.34, -0.3235, 8.78, 0.00, 3.60, 9.81, 0.5280, 8, 975434:1000625:1004074:997738:1008690:1004302:1006387:1008812:1003866:, 9, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 4b7441d2924a429b9be5668d14832786, 1010676, 1324391, 3173125, 1.10, 0.05, 0.52, 2.50, 0.2367, 3832, 257, 1876, 7667, 0.2640, 0.38, 0.26, 0.57, 11.19, -0.01738, 2.78, 0.69, 1.90, 6.52, 0.1509, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 8, 1007696:1010676:1010324:1009667:1008525:997563:1001533:1003313:1006804:, 2, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 4b7441d2924a429b9be5668d14832786, 1001533, 1309197, 3164390, 0.50, 0.05, 0.52, 2.50, -0.008163, 619, 257, 1876, 7667, -0.1696, 4.24, 0.26, 0.57, 11.19, 0.3358, 4.30, 0.69, 1.90, 6.52, 0.4117, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 8, 1007696:1010676:1010324:1009667:1008525:997563:1001533:1003313:1006804:, 7, 9, 0.00, 0
d9, ci_n_ads.js, 7ae74132765a450eaf6f817ef82f4df8, 1009764, 1322795, 3172127, 0.39, 0.05, 0.38, 0.80, 0.01333, 2264, 773, 1912, 3952, 0.1107, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 4.29, 2.44, 3.14, 4.29, 0.6216, 0.00, 0.00, 0.00, 0.00, 0, 8, 1009764:1007565, 1, 2, 0.00, 0
a9, ci_n_ads.js, a4ea3f38e587432981773e9a8d707706, 1010861, 1324636, 3173212, 0.52, 0.05, 0.39, 2.50, 0.05306, 4000, 257, 2146, 7721, 0.2484, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.23, 0.21, 0.24, 0.55, -0.02941, 0.00, 0.00, 0.00, 0.00, 0, 8, 995891:1006513:1009529:1010861:1007125:1009772:1010758:1009049:992352:, 4, 9, 0.00, 0
a9, ci_n_ads.js, a4ea3f38e587432981773e9a8d707706, 1009772, 1322830, 3172135, 0.39, 0.05, 0.39, 2.50, 0, 626, 257, 2146, 7721, -0.2036, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.21, 0.21, 0.24, 0.55, -0.08824, 0.00, 0.00, 0.00, 0.00, 0, 8, 995891:1006513:1009529:1010861:1007125:1009772:1010758:1009049:992352:, 6, 9, 0.1, 1
auctionexpr, ci_n_ads.js, a4201854135c45e8b57782f278797929, 981550, 1309689, 3117683, 0.30, 0.05, 0.08, 0.30, 0.8800, 17057, 4981, 8388, 17057, 0.7179, 1.58, 0.50, 1.06, 2.90, 0.2167, 8.17, 2.96, 5.09, 8.92, 0.5168, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 8, 1008106:981550:738291:999478:735576:1005908:, 2, 6, 0.00, 0
auctionexpr, ci_n_ads.js, dd4f65aa9c4b4ea7ae824c5efc0b48ff, 1007125, 1319560, 3170043, 0.80, 0.09, 0.45, 1.00, 0.3846, 3271, 570, 2926, 5944, 0.06420, 2.92, 2.92, 3.72, 5.87, -0.2712, 6.45, 4.64, 6.74, 8.54, -0.07436, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 8, 1007125:1009667:1010836, 1, 3, 0.78, 1
auctionexpr, ci_n_ads.js, d2d6a8dbad2c43d39a27e9094e283d85, 1008525, 1320419, 3171181, 0.80, 0.05, 0.38, 0.80, 0.5600, 3948, 400, 1807, 6572, 0.3469, 4.75, 1.43, 3.45, 4.75, 0.3916, 8.40, 4.62, 6.13, 8.44, 0.5942, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 9, 1008525:1010127, 1, 2, 0.8, 1
auctionexpr, ci_n_ads.js, b83cc02ff6a9424480f668ac54d5bcf9, 1009990, 1323245, 3172308, 0.70, 0.05, 0.48, 1.10, 0.2095, 2600, 615, 2640, 11508, -0.003672, 0.77, 0.56, 0.72, 1.23, 0.07463, 5.16, 3.78, 4.96, 7.38, 0.05556, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 9, 1010557:1007032:1009990, 3, 3, 0.00, 0
a9, ci_n_ads.js, cf4d5efe7753404a83ca5a6f4a70a4ab, 1010757, 1324477, 3173095, 0.09, 0.05, 0.35, 0.90, -0.3059, 4694, 964, 3527, 7666, 0.1741, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 4.13, 2.79, 3.56, 4.13, 0.4254, 0.00, 0.00, 0.00, 0.00, 0, 9, 1010836:1010757, 2, 2, 0.09, 1
b9, ci_n_ads.js, 2918bc59bd3b4cb58bb68b6fa44d2be3, 980270, 1299229, 3115784, 0.05, 0.05, 0.40, 2.50, -0.1429, 4473, 257, 2198, 7666, 0.3071, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.41, 0.31, 0.33, 0.47, 0.5000, 0.00, 0.00, 0.00, 0.00, 0, 9, 980270:1010770:1010849:1009667:1007125:1001037:1009249:1008186:1000717:, 1, 9, 0.00, 0
b9, ci_n_ads.js, 2918bc59bd3b4cb58bb68b6fa44d2be3, 1007125, 1319560, 3170043, 0.80, 0.05, 0.40, 2.50, 0.1633, 3271, 257, 2198, 7666, 0.1448, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.31, 0.31, 0.33, 0.47, -0.1250, 0.00, 0.00, 0.00, 0.00, 0, 9, 980270:1010770:1010849:1009667:1007125:1001037:1009249:1008186:1000717:, 5, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 4db3b24556f4453780eba4b8a8d2d829, 1010324, 1323859, 3172996, 1.50, 0.05, 0.51, 2.50, 0.4041, 2031, 224, 1937, 7721, 0.01254, 0.22, 0.19, 0.21, 0.53, 0.02941, 3.82, 2.60, 3.66, 8.44, 0.02740, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 9, 1007696:1010324:1010676:1010666:1010793:1008525:1008279:993356:1008186:, 2, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 4db3b24556f4453780eba4b8a8d2d829, 1008525, 1320420, 3171178, 0.80, 0.05, 0.51, 2.50, 0.1184, 3978, 224, 1937, 7721, 0.2722, 0.22, 0.19, 0.21, 0.53, 0.02941, 4.83, 2.60, 3.66, 8.44, 0.2003, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 9, 1007696:1010324:1010676:1010666:1010793:1008525:1008279:993356:1008186:, 6, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 2914e5735f834e558a9be74a4e503439, 1007924, 1319599, 3171822, 0.86, 0.05, 0.44, 2.50, 0.1714, 2242, 358, 1870, 13235, 0.02889, 0.26, 0.26, 0.33, 0.63, -0.1892, 3.50, 2.93, 4.01, 9.41, -0.07870, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 9, 1010324:1008525:1007032:1008279:1007924:740377:, 5, 6, 0.00, 0
auctionexpr, ci_n_ads.js, 7ba10c78068546c2ac08fd81c5d99313, 1007565, 1324025, 3170453, 0.50, 0.05, 0.16, 0.50, 0.7556, 1414, 412, 1312, 2698, 0.04462, 3.97, 3.31, 3.36, 3.97, 0.9242, 8.10, 6.08, 7.46, 9.50, 0.1871, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 9, 1007565:1009793, 1, 2, 0.5, 1
a9, ci_n_ads.js, 1d62b6dcbf9f435ab8e98d0ecd82c0fc, 1008486, 1320394, 3172107, 0.60, 0.05, 0.42, 2.50, 0.07347, 1757, 257, 2155, 7666, -0.05372, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.81, 0.27, 0.42, 2.94, 0.1461, 0.00, 0.00, 0.00, 0.00, 0, 9, 1000772:1000180:999837:1006681:1001741:1007924:1010754:1008766:1008486:, 9, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 25e53fd1134f493da229862c43c9582d, 1008525, 1320421, 3171181, 0.80, 0.05, 0.33, 0.80, 0.6267, 3990, 760, 2217, 5667, 0.3613, 2.18, 2.03, 2.38, 3.36, -0.1504, 7.53, 5.35, 6.50, 8.54, 0.3229, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 9, 1008525:1010105, 1, 2, 0.8, 1
e9, ci_n_ads.js, cfa6c59137384a04a9ec2d12d24d664e, 1010557, 1324109, 3172924, 1.00, 0.05, 0.38, 1.10, 0.5905, 1239, 257, 2087, 7720, -0.1136, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.21, 0.21, 0.23, 0.39, -0.1111, 0.00, 0.00, 0.00, 0.00, 0, 9, 1010676:1010528:1010557:1008279:1007924:1007032:1005922:1008525:1000180, 3, 9, 1.0, 1
e9, ci_n_ads.js, cfa6c59137384a04a9ec2d12d24d664e, 1007924, 1319598, 3171822, 0.86, 0.05, 0.38, 1.10, 0.4571, 1925, 257, 2087, 7720, -0.02171, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.21, 0.21, 0.23, 0.39, -0.1111, 0.00, 0.00, 0.00, 0.00, 0, 9, 1010676:1010528:1010557:1008279:1007924:1007032:1005922:1008525:1000180, 5, 9, 0.00, 0
a9, ci_n_ads.js, dfadd8e7e0794d6eb324415a22d1e1ba, 1010837, 1324612, 3173188, 0.52, 0.05, 0.38, 1.10, 0.1333, 3930, 256, 2139, 7720, 0.2400, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.19, 0.19, 0.20, 0.45, -0.03846, 0.00, 0.00, 0.00, 0.00, 0, 10, 1010837:999837:995891:1001741:1010800:1010044:1000117:1009745:1010676:, 1, 9, 0.00, 0
a9, ci_n_ads.js, dfadd8e7e0794d6eb324415a22d1e1ba, 1009745, 1322720, 3172108, 0.39, 0.05, 0.38, 1.10, 0.009524, 614, 256, 2139, 7720, -0.2043, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.19, 0.19, 0.20, 0.45, -0.03846, 0.00, 0.00, 0.00, 0.00, 0, 10, 1010837:999837:995891:1001741:1010800:1010044:1000117:1009745:1010676:, 8, 9, 0.00, 0
auctionexpr, ci_n_ads.js, b548bba5163f4cdcbecb546e1570ea0b, 736006, 1304914, 3161890, 0.11, 0.05, 0.08, 0.11, 0.5000, 1510, 412, 1273, 3575, 0.07493, 6.12, 6.12, 6.12, 6.28, 0, 7.62, 6.39, 7.36, 9.93, 0.07345, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 10, 736006:999837:, 1, 2, 0.11, 1
auctionexpr, ci_n_ads.js, bcd0171f01f24918a4cb349711ab2fa9, 1007032, 1318218, 3170017, 0.82, 0.05, 0.37, 0.82, 0.5844, 1709, 406, 1734, 3315, -0.008594, 0.29, 0.27, 0.30, 0.55, -0.03571, 5.59, 4.14, 5.64, 8.12, -0.01256, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 10, 1007032:1009534, 1, 2, 0.00, 0
auctionexpr, ci_n_ads.js, bcd0171f01f24918a4cb349711ab2fa9, 1009534, 1322260, 3171936, 0.60, 0.05, 0.37, 0.82, 0.2987, 2774, 406, 1734, 3315, 0.3575, 0.27, 0.27, 0.30, 0.55, -0.1071, 6.68, 4.14, 5.64, 8.12, 0.2613, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 10, 1007032:1009534, 2, 2, 0.56, 1
b9, ci_n_ads.js, fc091af77e9744b48bbeb9bbf5b1c7a0, 1008813, 1322179, 3171359, 0.30, 0.05, 0.33, 1.00, -0.03158, 23352, 367, 4964, 23352, 0.8000, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.98, 0.00, 1.09, 4.06, -0.02709, 0.00, 0.00, 3.12, 9.68, -0.3223, 10, 1008813:1010869:1010834, 1, 3, 0.3, 1
auctionexpr, ci_n_ads.js, 9bd714802e39444a808439db72cd9fff, 1008186, 1319992, 3170896, 0.45, 0.05, 0.46, 1.50, -0.006897, 2930, 255, 1761, 7719, 0.1566, 0.48, 0.23, 0.26, 0.51, 0.7857, 7.29, 3.20, 4.28, 8.16, 0.6069, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 11, 1010520:1008279:1008526:1006804:1010324:1008186:1008486:1007924:1010557, 6, 9, 0.00, 0
