st, fmt, uuid, ad, cr, fl, BID, mibid, avbid, mxbid, nmbid, CTR, mictr, avctr, mxctr, nmctr, CTX, mictx, avctx, mxctx, nmctx, qlt, miqlt, avqlt, mxqlt, nmqlt, CTU, mictu, avctu, mxctu, nmctu, BTU, mibtu, avbtu, mxbtu, nmbtu, hour, comb, order, adnum, cpc, click
auctionexpr, ci_n_ads.js, 949075095b384c2a8297e1a2e84e54f4, 1009795, 1322945, 3172158, 0.39, 0.05, 0.29, 0.60, 0.1818, 4796, 270, 2307, 6572, 0.3950, 2.82, 1.55, 2.29, 3.47, 0.2760, 8.29, 4.29, 6.12, 8.62, 0.5012, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 11, 1010127:1009795, 2, 2, 0.00, 0
auctionexpr, ci_n_ads.js, 55dde12b04264804bfd6ad24933d8832, 1005922, 1323536, 3168813, 0.82, 0.05, 0.34, 0.85, 0.6000, 1119, 406, 1802, 13223, -0.05329, 0.53, 0.38, 0.50, 0.77, 0.07692, 4.80, 3.65, 4.79, 9.45, 0.001724, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 11, 1007032:1005922:995036:, 2, 3, 0.00, 0
a9, ci_n_ads.js, 6641c9643cf84ccc9644c200276aa141, 985893, 1299787, 3166269, 0.55, 0.05, 0.40, 1.00, 0.1579, 1809, 873, 3368, 7719, -0.2277, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 3.32, 1.62, 1.91, 3.32, 0.8294, 0.00, 0.00, 0.00, 0.00, 0, 11, 1009667:1010811:985893:, 3, 3, 0.00, 0
auctionexpr, ci_n_ads.js, ae2e2d4969a24c639172ac232c1b59b1, 1007032, 1318219, 3170016, 0.82, 0.05, 0.45, 1.50, 0.2552, 1958, 253, 1573, 7664, 0.05195, 2.16, 2.16, 2.22, 3.89, -0.03468, 5.37, 4.48, 5.24, 9.08, 0.02826, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 11, 1010793:1008279:1010324:1007924:993356:1007032:1009667:1000180:1005922:, 6, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 791cee7a45cf4a5cb883f9db9c67d37a, 995026, 1312433, 3153756, 0.30, 0.05, 0.33, 0.82, -0.03896, 7046, 406, 1890, 13220, 0.4024, 2.74, 0.89, 1.71, 4.42, 0.2918, 6.82, 2.39, 3.96, 8.86, 0.4420, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 11, 995026:1010838:1009775:, 1, 3, 0.3, 1
auctionexpr, ci_n_ads.js, 11a540dc7236467dab7f39f7dab8f7df, 1010514, 1324036, 3172875, 0.70, 0.05, 0.34, 1.10, 0.3429, 1185, 189, 1637, 7719, -0.06003, 2.05, 1.46, 1.78, 3.06, 0.1687, 5.39, 4.21, 5.19, 9.97, 0.03472, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 11, 1008279:1010514:1009990, 2, 3, 0.7, 1
b9, ci_n_ads.js, a05794c5d8394896bfeee8ca03e01dd2, 973519, 1256134, 3107122, 0.05, 0.05, 0.35, 1.00, -0.3158, 7663, 251, 1857, 7663, 0.7833, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.45, 0.33, 0.35, 0.56, 0.4348, 0.00, 0.00, 0.00, 0.00, 0, 12, 973519:1010812:980277:1010793:1003595:1010728:1010825:1010952:1010130:, 1, 9, 0.00, 0
b9, ci_n_ads.js, a05794c5d8394896bfeee8ca03e01dd2, 1010812, 1324579, 3173163, 0.09, 0.05, 0.35, 1.00, -0.2737, 6604, 251, 1857, 7663, 0.6404, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.34, 0.33, 0.35, 0.56, -0.04348, 0.00, 0.00, 0.00, 0.00, 0, 12, 973519:1010812:980277:1010793:1003595:1010728:1010825:1010952:1010130:, 2, 9, 0.00, 0
d9, ci_n_ads.js, 3c6d5c59ff114a0eadac617d3c845837, 999837, 1308036, 3164379, 0.05, 0.05, 0.29, 0.80, -0.3200, 1754, 727, 2594, 6571, -0.1437, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.97, 1.41, 1.97, 2.78, 0, 0.00, 0.00, 0.00, 0.00, 0, 12, 1007565:999837:, 2, 2, 0.00, 0
auctionexpr, ci_n_ads.js, efd0c18a2f1748ac878a3b572d2bbe19, 1007924, 1319599, 3170742, 0.86, 0.05, 0.38, 1.50, 0.3310, 3131, 919, 3032, 7718, 0.01456, 1.63, 1.60, 1.79, 2.64, -0.1538, 6.12, 5.16, 6.32, 9.84, -0.04274, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 12, 1010324:1008279:1007924, 3, 3, 0.00, 0
auctionexpr, ci_n_ads.js, f379a68071794781ae9d217c06489d9d, 1010127, 1324338, 3172521, 0.60, 0.05, 0.29, 0.60, 0.5636, 3245, 270, 2298, 6571, 0.1503, 1.62, 1.33, 1.96, 2.98, -0.2061, 6.16, 4.22, 6.06, 8.57, 0.02299, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 12, 1010127:1009795, 1, 2, 0.00, 0
a9, ci_n_ads.js, d18cd9f3cc2b4019af883657e10e5f03, 994545, 1312405, 3166414, 0.70, 0.05, 0.39, 2.00, 0.1590, 2036, 248, 2296, 8869, -0.03016, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.00, 0.00, 0.12, 0.45, -0.2667, 2.25, 0.00, 2.90, 9.21, -0.07058, 12, 1010762:1010152:1010043:1001536:992855:791775:994545:973491:1006305:, 7, 9, 0.00, 0
c9, ci_n_ads.js, e572ea251f2141de9ae63b486ecbbb9a, 997563, 1300332, 3157489, 0.63, 0.05, 0.35, 0.90, 0.3294, 1999, 312, 3198, 8251, -0.1510, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.28, 0.28, 0.31, 0.44, -0.1875, 0.00, 0.00, 0.00, 0.00, 0, 12, 997563:1009967:1010818:, 1, 3, 0.00, 0
auctionexpr, ci_n_ads.js, 2c39063051074886bf1d632978b54df2, 1009534, 1322260, 3171936, 0.60, 0.05, 0.31, 0.71, 0.4394, 2759, 408, 1775, 3314, 0.3386, 0.33, 0.31, 0.35, 0.60, -0.06897, 7.02, 4.28, 6.01, 8.12, 0.2630, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 12, 1009534:1010060, 1, 2, 0.48, 1
b9, ci_n_ads.js, ba5a291ded3643e98b48f0f2403b01f2, 1000974, 1307943, 3163654, 0.40, 0.05, 0.32, 0.80, 0.1067, 1562, 425, 1860, 5652, -0.05701, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 5.85, 2.82, 4.36, 5.85, 0.4917, 0.00, 0.00, 0.00, 0.00, 0, 12, 1008961:1000974, 2, 2, 0.00, 0
e9, ci_n_ads.js, 5a13980e43874339b59e6c87a87a41e7, 1005922, 1323536, 3168814, 0.82, 0.05, 0.34, 0.90, 0.5647, 1604, 396, 3245, 12664, -0.1338, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.32, 0.30, 0.37, 0.58, -0.1786, 0.00, 0.00, 0.00, 0.00, 0, 13, 993356:1007924:1005922:, 3, 3, 0.76, 1
e9, ci_n_ads.js, 98e1afbb5abd471f98693675401c0085, 1010557, 1324109, 3172924, 1.00, 0.05, 0.35, 1.00, 0.6842, 1226, 249, 1695, 13203, -0.03621, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.25, 0.25, 0.29, 0.63, -0.1053, 0.00, 0.00, 0.00, 0.00, 0, 13, 1008279:1010557:1010528:1010324:1007924:1005922, 2, 6, 0.00, 0
b9, ci_n_ads.js, 2086f5456a624f87be8b0a776c5e2dba, 1010975, 1324761, 3173279, 0.45, 0.05, 0.33, 0.70, 0.1846, 12397, 906, 3699, 12397, 0.7569, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.62, 1.21, 1.59, 1.88, 0.04478, 0.00, 0.00, 0.00, 0.00, 0, 13, 1010975:729014:996588:, 1, 3, 0.00, 0
e9, ci_n_ads.js, d3e0f75d66114930bf4fd5285c97f980, 1008279, 1320104, 3170954, 1.00, 0.05, 0.36, 1.00, 0.6737, 1802, 240, 2098, 8075, -0.03778, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.19, 0.19, 0.21, 0.55, -0.05556, 0.00, 0.00, 0.00, 0.00, 0, 13, 1010557:1008279:1010528:993356:1007924:1005922:1000180:1010685:1009049:, 2, 9, 0.00, 0
e9, ci_n_ads.js, d3e0f75d66114930bf4fd5285c97f980, 1005922, 1317261, 3168814, 0.82, 0.05, 0.36, 1.00, 0.4842, 1487, 240, 2098, 8075, -0.07798, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.19, 0.19, 0.21, 0.55, -0.05556, 0.00, 0.00, 0.00, 0.00, 0, 13, 1010557:1008279:1010528:993356:1007924:1005922:1000180:1010685:1009049:, 6, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 88153de70c7c44d9bab477bad9d4f8d2, 1011058, 1324924, 3173361, 0.50, 0.05, 0.31, 0.80, 0.2533, 4000, 805, 2466, 5638, 0.3174, 4.12, 2.48, 3.25, 4.36, 0.4628, 8.67, 5.58, 6.89, 8.81, 0.5511, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 13, 1010105:1011058, 2, 2, 0.46, 1
c9, ci_n_ads.js, 062df1c2a1bc4928b9296bb0feb4a41e, 1010861, 1324636, 3173212, 0.52, 0.05, 0.37, 1.00, 0.1579, 4000, 236, 2071, 7716, 0.2579, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.37, 0.26, 0.48, 2.74, -0.04435, 0.00, 0.00, 0.00, 0.00, 0, 14, 1010670:1003599:1010986:1010861:1005922:1009772:1000772:980277:1000180:, 4, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 3494058af4454bf88e84961819054ad3, 1010105, 1323512, 3172442, 0.80, 0.05, 0.30, 0.82, 0.6494, 1734, 711, 2837, 8065, -0.1500, 0.65, 0.30, 0.44, 0.88, 0.3621, 5.64, 3.11, 4.80, 9.76, 0.1263, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 14, 1010105:1010432:1000093, 1, 3, 0.00, 0
auctionexpr, ci_n_ads.js, 441b4f3a98b245be9b64483a1b889974, 1008279, 1320104, 3170954, 1.00, 0.05, 0.43, 1.50, 0.3931, 1806, 254, 1713, 7660, 0.01256, 0.29, 0.22, 0.27, 0.48, 0.07692, 4.84, 3.69, 4.63, 8.55, 0.04321, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 14, 1010324:1008279:1007924:1010557:1010127:1008486:993356:1009667:1008186:, 2, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 441b4f3a98b245be9b64483a1b889974, 1009667, 1323406, 3172204, 0.60, 0.05, 0.43, 1.50, 0.1172, 4007, 254, 1713, 7660, 0.3097, 0.28, 0.22, 0.27, 0.48, 0.03846, 5.96, 3.69, 4.63, 8.55, 0.2737, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 14, 1010324:1008279:1007924:1010557:1010127:1008486:993356:1009667:1008186:, 8, 9, 0.00, 0
auctionexpr, ci_n_ads.js, d8e0ad38458f40ad950fa0951d174bc2, 1006987, 1320516, 3169905, 0.45, 0.05, 0.31, 0.85, 0.1750, 3607, 181, 2330, 17729, 0.07277, 1.31, 0.46, 0.77, 5.43, 0.1087, 3.52, 1.26, 2.25, 7.42, 0.2062, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 14, 1010105:1009646:1005912:1000093:1010367:1010666:1006987:1010432:992356:, 7, 9, 0.00, 0
b9, ci_n_ads.js, 2935db97bcfb4a84859e47971bf5d954, 973519, 1256134, 3107122, 0.05, 0.05, 0.34, 1.00, -0.3053, 7660, 251, 1912, 7660, 0.7758, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.30, 0.22, 0.24, 0.43, 0.2857, 0.00, 0.00, 0.00, 0.00, 0, 14, 973519:1010812:980277:1010952:1003595:1010841:1010877:1010130:992395:, 1, 9, 0.00, 0
b9, ci_n_ads.js, 2935db97bcfb4a84859e47971bf5d954, 1010877, 1324652, 3173228, 0.45, 0.05, 0.34, 1.00, 0.1158, 4000, 251, 1912, 7660, 0.2818, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.24, 0.22, 0.24, 0.43, 0, 0.00, 0.00, 0.00, 0.00, 0, 14, 973519:1010812:980277:1010952:1003595:1010841:1010877:1010130:992395:, 7, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 92f2d3fad0a142f681d6bd568bd993e3, 1010105, 1323512, 3172448, 0.80, 0.05, 0.31, 0.80, 0.6533, 1565, 798, 2917, 7367, -0.2058, 2.88, 2.66, 3.21, 4.14, -0.2230, 5.81, 5.44, 6.83, 9.88, -0.2297, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 15, 1011058:1010105, 2, 2, 0.00, 0
auctionexpr, ci_n_ads.js, 259edb042a944e1aa4233a24f3f6b3be, 1003597, 1312702, 3166684, 0.50, 0.05, 0.33, 0.70, 0.2615, 9938, 506, 4645, 16072, 0.3400, 2.19, 0.87, 1.29, 2.89, 0.4455, 7.59, 3.34, 4.74, 8.18, 0.5888, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 15, 1010666:1011056:1003597:1011029:1010869:1009667, 3, 6, 0.00, 0
c9, ci_n_ads.js, fde5e92d5ea2483aa986c95676ccdfc3, 1010015, 1323323, 3172339, 0.31, 0.05, 0.34, 1.00, -0.03158, 946, 243, 2067, 7716, -0.1500, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.21, 0.20, 0.24, 0.73, -0.05660, 0.00, 0.00, 0.00, 0.00, 0, 15, 1010796:997817:1001741:992352:1000379:1006513:1010015:995891:1008486:, 7, 9, 0.00, 0
a9, ci_n_ads.js, 6af2fde8a9c043b88ccbf968c9030bde, 1010268, 1323725, 3172604, 0.30, 0.05, 0.34, 1.00, -0.04211, 575, 243, 1829, 5887, -0.2222, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.50, 0.26, 0.32, 0.52, 0.6923, 0.00, 0.00, 0.00, 0.00, 0, 15, 1010774:1006305:1010853:1006513:992395:1010152:737426:1002359:1010268:, 9, 9, 0.00, 0
a9, ci_n_ads.js, 1c8dc5fc66394aa3a73a6c1e3d889b19, 1003313, 1322620, 3172278, 0.30, 0.05, 0.36, 0.70, -0.09231, 946, 506, 2702, 5688, -0.3389, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.31, 0.23, 0.30, 0.71, 0.02083, 0.00, 0.00, 0.00, 0.00, 0, 15, 1009990:1009789:1003313, 3, 3, 0.00, 0
c9, ci_n_ads.js, 1590116279ce48359b8c59a3f0d29910, 1009772, 1322830, 3172135, 0.45, 0.05, 0.31, 0.60, 0.2545, 608, 249, 2416, 13186, -0.1398, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.04, 0.89, 1.55, 3.61, -0.1875, 0.00, 0.00, 0.00, 0.00, 0, 15, 1005913:979336:1009772:, 3, 3, 0.00, 0
a9, ci_n_ads.js, 819e817910ec4f6c979d90a531aaed80, 980270, 1299229, 3115784, 0.05, 0.05, 0.36, 1.00, -0.3263, 4475, 240, 1760, 5647, 0.5021, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.80, 1.03, 1.33, 3.44, 0.1950, 0.00, 0.00, 0.00, 0.00, 0, 15, 1010754:1001536:980270:1009049:1000717:1010845:1010324:1010044:1010607:, 3, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 9991c36ab2054c8c8096f608af364f14, 1011090, 1324957, 3173391, 1.00, 0.05, 0.34, 1.00, 0.6947, 22219, 286, 2633, 22219, 0.8930, 2.56, 2.13, 2.50, 3.92, 0.03352, 8.78, 4.34, 5.15, 8.78, 0.8176, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 16, 1011090:1008451:1007924:985868:1009990:1003601:, 1, 6, 0.00, 0
auctionexpr, ci_n_ads.js, 9991c36ab2054c8c8096f608af364f14, 1009990, 1323245, 3172306, 0.70, 0.05, 0.34, 1.00, 0.3789, 2756, 286, 2633, 22219, 0.005608, 2.54, 2.13, 2.50, 3.92, 0.02235, 5.25, 4.34, 5.15, 8.78, 0.02252, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 16, 1011090:1008451:1007924:985868:1009990:1003601:, 5, 6, 0.00, 0
auctionexpr, ci_n_ads.js, ed7fe036a06f48738458853f50a2ad19, 1009990, 1323245, 3172313, 0.70, 0.05, 0.42, 1.50, 0.1931, 2381, 177, 1626, 22219, 0.03425, 0.19, 0.16, 0.20, 0.42, -0.03846, 3.33, 2.79, 3.39, 7.35, -0.01316, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 16, 1008486:1010324:1008186:993356:1007924:1009667:1010127:1009990:1009049:, 8, 9, 0.00, 0
c9, ci_n_ads.js, c4230b637e5f42018f10eab118099df0, 1009527, 1323019, 3171925, 0.15, 0.05, 0.41, 1.10, -0.2476, 1674, 372, 2565, 12797, -0.07171, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.32, 0.29, 0.90, 3.91, -0.1602, 0.00, 0.00, 0.00, 0.00, 0, 16, 1000717:736820:1009527:, 3, 3, 0.00, 0
d9, ci_n_ads.js, 36fdad15d5b9435093235d16063da159, 1011088, 1324946, 3173383, 0.87, 0.05, 0.43, 1.00, 0.4632, 4619, 684, 2770, 5899, 0.3546, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.82, 1.53, 1.97, 3.25, 0.4942, 0.00, 0.00, 0.00, 0.00, 0, 16, 1007922:738642:1011088:, 3, 3, 0.00, 0
a9, ci_n_ads.js, a5abd46b7a9e40d4a466e129413caef0, 1010607, 1324256, 3172947, 0.39, 0.05, 0.34, 1.00, 0.05263, 305, 121, 1793, 16355, -0.09166, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.26, 0.22, 0.27, 0.57, -0.02857, 0.00, 0.00, 0.00, 0.00, 0, 17, 1000379:1007924:1010607:1009049:1001536:1010816:1011090:1009967:1010152, 3, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 85d3d1f87de6459381b2c9950f3844a7, 1010105, 1323512, 3172448, 0.80, 0.05, 0.40, 1.00, 0.4211, 1575, 392, 2088, 8845, -0.06069, 4.61, 2.03, 3.22, 4.61, 0.5388, 6.71, 4.39, 5.89, 10.00, 0.1462, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 17, 1011090:1010105, 2, 2, 0.65, 1
auctionexpr, ci_n_ads.js, a38db0ee8cbb431f9865e29b35ea3b33, 1011089, 1324951, 3173386, 0.87, 0.05, 0.38, 0.87, 0.5976, 5736, 344, 2933, 8682, 0.3362, 0.94, 0.75, 1.06, 1.89, -0.1053, 6.41, 4.13, 5.40, 7.96, 0.2637, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 17, 1011092:1011089:1009990, 2, 3, 0.00, 0
auctionexpr, ci_n_ads.js, a38db0ee8cbb431f9865e29b35ea3b33, 1009990, 1323245, 3172307, 0.70, 0.05, 0.38, 0.87, 0.3902, 2122, 344, 2933, 8682, -0.09727, 1.52, 0.75, 1.06, 1.89, 0.4035, 6.21, 4.13, 5.40, 7.96, 0.2115, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 17, 1011092:1011089:1009990, 3, 3, 0.00, 0
d9, ci_n_ads.js, eda37b1b2f04421b9930be4156bd40b8, 999837, 1308036, 3164379, 0.05, 0.05, 0.13, 1.00, -0.08421, 1753, 412, 1505, 9201, 0.02822, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 3.19, 3.02, 3.14, 3.91, 0.05618, 0.00, 0.00, 0.00, 0.00, 0, 17, 735923:999837:, 2, 2, 0.00, 0
auctionexpr, ci_n_ads.js, 35a8c86751c945e3abd2fa4a9c1f57f7, 1011090, 1324957, 3173391, 1.00, 0.05, 0.39, 1.50, 0.4207, 13956, 120, 1810, 13956, 0.8779, 0.23, 0.16, 0.21, 0.55, 0.05128, 6.78, 2.49, 3.10, 6.78, 0.8578, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 18, 1011090:1010324:1011092:1010666:993356:1008186:1010557:1007924:1000180:, 1, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 35a8c86751c945e3abd2fa4a9c1f57f7, 1011092, 1324959, 3173400, 0.76, 0.05, 0.39, 1.50, 0.2552, 5378, 120, 1810, 13956, 0.2579, 0.26, 0.16, 0.21, 0.55, 0.1282, 4.74, 2.49, 3.10, 6.78, 0.3823, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 18, 1011090:1010324:1011092:1010666:993356:1008186:1010557:1007924:1000180:, 3, 9, 0.00, 0
